"Table 5: All Claimants and those aged 16 to 24 by Local Authority, August 2017 to 2022 (non-seasonally adjusted)",,,,,,,,,,,,
Back to Contents,,,,,,,,,,,,
This worksheet contains one table with brief notes beneath. The Guidance worksheet contains further information on interpretation.,,,,,,,,,,,,
Source: ,,,,,,,,,,,,
"DWP Stat-Xplore, Alternative Claimant Count",,,,,,,,,,,,
,All ages,,,,,,Ages 16 to 24,,,,,
Local Authority,Aug-17,Aug-18,Aug-19,Aug-20,Aug-21,Aug-22, Aug-17, Aug-18, Aug-19, Aug-20, Aug-21, Aug-22
Folkestone and Hythe,2213,2229,2409,5107,3603,2538,335,284,413,949,570,388
Gravesham,2247,2169,2433,5034,3738,2531,372,339,409,948,690,440
Maidstone,2239,2141,2297,5727,4357,2926,339,295,346,1079,753,498
Sevenoaks,1096,1017,1085,3127,2240,1395,126,103,119,565,369,204
Swale,3015,3172,3287,6272,4741,3253,573,629,679,1357,985,582
Thanet,4184,4388,4476,8832,6367,4440,731,789,786,1699,1083,737
Tonbridge and Malling,1333,1224,1329,3606,2602,1568,190,157,207,718,456,242
Tunbridge Wells,1234,1144,1174,3456,2428,1586,143,124,135,603,399,237
Cherwell,1200,1315,1350,4090,3043,1943,141,156,203,702,484,270
Oxford,2157,2097,2226,4894,3991,2607,217,242,266,865,570,422
South Oxfordshire,1078,1131,1148,3247,2284,1497,81,103,106,562,341,166
Vale of White Horse,1025,1062,1065,3019,2088,1499,116,124,138,572,314,237
West Oxfordshire,823,828,854,2688,1838,1156,112,117,115,559,307,182
Elmbridge,1062,1046,1132,3434,2403,1617,93,78,98,549,335,183
Epsom and Ewell,704,703,652,2047,1393,872,75,86,88,373,210,113
Guildford,1112,1061,1102,3319,2383,1667,132,110,146,650,400,272
Mole Valley,643,649,650,1913,1353,911,48,64,63,328,195,84
Reigate and Banstead,1283,1265,1285,3897,2844,1756,161,146,163,724,470,228
Runnymede,765,764,750,2493,1830,1267,81,91,84,433,315,193
Spelthorne,1095,1013,1045,3346,2650,1743,120,104,142,556,426,226
Surrey Heath,721,645,608,2284,1454,1061,83,70,69,435,233,157
Tandridge,755,736,777,2377,1633,1075,92,82,88,453,261,161
Waverley,869,859,851,2595,1715,1294,71,58,82,493,265,159
Woking,923,868,875,2870,1988,1410,85,87,114,450,287,184
Adur,823,792,862,2403,1633,1018,140,95,140,455,332,166
Arun,1944,1905,2044,5294,3881,2614,230,224,274,885,551,326
Chichester,1245,1264,1369,3569,2670,1893,139,147,187,614,346,207
Crawley,1762,1792,1952,5340,4389,2852,220,244,273,948,687,414
Horsham,1095,994,1123,3504,2357,1535,154,118,139,631,402,197
Mid Sussex,916,913,1022,3394,2194,1443,95,84,117,563,331,173
Worthing,1426,1407,1627,3980,2951,1889,192,187,282,772,542,339
Bath and North East Somerset,2086,2161,2150,5348,3606,1980,320,321,328,1139,564,269
"Bournemouth, Christchurch and Poole",5834,5824,6223,15596,10878,7388,705,716,853,2702,1580,1027
"Bristol, City of",8686,8141,8861,21041,15468,10292,1159,1052,1353,3884,2504,1533
Cornwall,8294,7898,8407,20858,12774,8694,1195,1094,1312,4048,2015,1208
Dorset,3515,3638,3715,9686,6389,4369,435,478,534,1756,947,630
Isles of Scilly,7,8,10,65,25,11,.,.,0,10,10,0
North Somerset,2412,2538,2590,6210,4252,2804,371,442,465,1170,737,486
Plymouth,5744,5570,5599,11078,7463,5442,1098,960,1034,2295,1410,941
South Gloucestershire,2699,2535,2608,7264,4833,3028,446,359,459,1526,819,464
Swindon,3512,3439,3551,8471,6170,4136,610,528,598,1550,1051,653
Torbay,2432,2393,2456,5999,3614,2362,392,362,411,1073,449,298
Wiltshire,4775,5135,5161,12734,8806,5837,731,856,827,2540,1505,880
East Devon,1320,1215,1336,3742,2269,1443,144,117,165,688,297,152
Exeter,1498,1384,1498,3894,2685,1663,193,188,229,756,491,257
Mid Devon,874,767,877,2124,1369,898,125,97,157,405,207,101
North Devon,1060,1006,1093,3286,1868,1254,161,142,195,668,302,171
South Hams,756,728,734,2480,1367,958,83,65,76,453,168,105
Teignbridge,1323,1349,1347,3941,2415,1495,191,167,189,784,379,170
Torridge,876,834,889,2190,1344,839,141,136,156,422,207,124
West Devon,545,539,537,1444,905,594,66,56,70,279,131,69
Cheltenham,1343,1415,1490,3927,2645,1706,205,231,257,743,487,268
Cotswold,718,744,769,2232,1398,862,104,100,102,411,201,93
Forest of Dean,1089,1133,1167,2575,1633,1136,182,180,196,513,278,144
Gloucester,2141,2148,2269,5112,3624,2404,318,307,420,996,688,435
Stroud,1080,1058,1063,3042,1833,1070,154,147,152,557,319,150
Tewkesbury,874,883,939,2445,1543,984,128,119,143,441,261,139
Mendip,1472,1700,1557,3863,2606,1802,225,247,228,683,382,220
Sedgemoor,1963,2013,1891,4112,2574,1759,391,361,331,753,430,275
Somerset West and Taunton,1941,1944,1859,4422,2757,1790,328,333,333,829,456,304
South Somerset,1744,1965,1870,4587,3035,1939,246,312,290,889,450,281
Isle of Anglesey,1465,1291,1263,2720,1823,1234,227,204,193,504,300,169
Gwynedd,1951,1817,1812,4433,2610,1873,333,277,309,954,462,286
Conwy,1986,1903,2264,4788,3120,2139,338,259,366,922,528,371
Denbighshire,1660,1688,1855,3877,2660,1787,293,282,357,848,510,310
Flintshire,2426,2494,2632,5282,3696,2484,376,416,500,1038,649,386
Wrexham,2339,2554,2598,5177,3690,2410,376,449,461,995,646,432
Powys,1466,1350,1409,3717,2389,1621,224,180,220,691,391,251
Ceredigion,980,888,903,2188,1434,1113,158,143,137,488,261,165
Pembrokeshire,2372,2262,2278,4793,2940,2086,431,361,416,1014,492,335
Carmarthenshire,3503,3448,3411,6572,4413,3075,617,540,600,1354,852,488
Swansea,5541,5700,5688,9567,6922,4962,1037,995,1024,1977,1273,818
Neath Port Talbot,3158,3064,3044,5520,3497,2433,641,619,655,1207,694,491
Bridgend,2994,2768,2655,5468,3576,2522,531,491,547,1170,694,497
Vale of Glamorgan,2154,1862,2008,4580,3220,2258,423,337,432,1051,634,431
Cardiff,8864,8398,8538,16977,12837,9106,1320,1209,1372,3307,2214,1525
Rhondda Cynon Taf,5540,5151,5147,10288,6460,4247,1110,960,1052,2408,1459,857
Merthyr Tydfil,1621,1394,1459,2782,1947,1298,341,244,288,636,368,271
Caerphilly,4812,4267,4028,7464,5271,3572,992,810,835,1678,1133,776
Blaenau Gwent,2189,1883,1802,3180,2264,1517,463,310,329,688,475,320
Torfaen,2068,2180,2043,3859,2688,1955,457,494,488,919,591,398
Monmouthshire,1097,1036,979,2422,1605,1198,193,154,166,519,314,234
Newport,3983,4040,4085,7520,6022,4238,738,765,772,1548,1115,702
Aberdeen City,4874,4279,4170,9146,7063,4908,747,667,760,1711,1238,792
Aberdeenshire,3495,3093,2965,6628,4602,2740,591,528,593,1277,936,525
Angus,2337,2287,2209,3959,2826,1804,496,494,470,862,592,371
